"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ",2833,263,222,179,74,91,0.34600760456273766,1.1179952644041042,99.84,52.393435113500004,-47.4465648865
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ",10322,763,687,587,242,269,0.35255570117955437,1.09169751454257,160.85,195.62807378500008,34.77807378500009
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ",3405,419,2,317,119,148,0.3532219570405728,1.1831132731063239,86.18,99.45108194949998,13.271081949499973
"Total","tj","si3a34c06of","DentalImplants","si3a34c06of_0827_DentalImplants_KnowledgeWarehouse_TJ",3185,213,4,131,58,77,0.3615023474178404,1.283239323126511,67.04,91.62085394949999,24.580853949499982
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ",2175,204,1,141,63,75,0.36764705882352944,1.1898249452954048,81.13,81.802428,0.6724280000000107
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ",218,19,0,9,4,7,0.3684210526315789,1.1065989847715736,9.62,3.5001480000000003,-6.119851999999999
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ",664,84,65,61,24,31,0.36904761904761907,1.1690140845070423,14.59,9.995268,-4.5947320000000005
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ",862,62,1,47,18,23,0.3709677419354839,1.1493333333333333,29.12,22.741940999999997,-6.378059000000004
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ",829,43,39,26,14,16,0.37209302325581395,1.114247311827957,17.9,25.782018,7.882018000000002
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ",9368,696,12,560,195,261,0.375,1.0740655812886952,140.04,163.730617114,23.69061711400002
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ",908,109,1,79,34,41,0.3761467889908257,1.0545876887340302,31.08,19.863975557,-11.216024442999998
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ",1996,278,149,223,80,106,0.381294964028777,1.102153506350083,37.06,45.43838425610001,8.378384256100006
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ",2900,206,1,135,68,80,0.3883495145631068,1.109835438193647,59.41,91.81109427850001,32.40109427850001
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ",2104,243,1,194,75,95,0.39094650205761317,1.2464454976303319,90.54,147.73174039250003,57.19174039250002
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ",10979,833,746,644,279,327,0.39255702280912363,1.0596467522439919,204.59,234.4500805064999,29.860080506499884
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ",6646,674,467,399,208,267,0.3961424332344214,1.088437602358336,158.58,222.04236111349985,63.46236111349984
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ",436,53,3,28,16,21,0.39622641509433965,1.0405727923627686,16.71,17.942769000000002,1.2327690000000011
